Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Ireland,IRL,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Isle of Man,IMN,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Israel,ISR,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Italy,ITA,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Jamaica,JAM,53.200008,77.1542358398,83.8730466308,91.7877960205,93.4988479614,95.2210845947,96.9507827759,98.495552063,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Japan,JPN,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Jordan,JOR,90,95.4344558716,98.4889450073,98.6685977739,99.3664169312,99.7040710449,99.4,99.9807281494,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Kazakhstan,KAZ,96.0137939453,97.8131332397,98.853187561,100,99.2769775391,99.5038909912,99.716583252,99.8827896118,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Kenya,KEN,0.9841617942,4.9837899208,7.770116806,8.1,6.7,9.0928916931,9.5537014008,10.0182409286,12.6,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Kiribati,KIR,94.5055618286,64.4216766357,39.9411964417,19.7,44.227886057,31.0389194489,28.0913772583,25.1475658417,22.2043743134,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,"Korea, Rep.",KOR,..,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Kosovo,XKX,99.8356323242,99.994392395,99.858833313,99.9003067017,99.9450378418,99.978225708,99.9945831299,99.9993743896,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Kuwait,KWT,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Kyrgyz Republic,KGZ,98.2378005981,98.9308242798,99.0718765259,99.16847229,99.2799758911,99.402671814,99.8,99.6667022705,99.7,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Lao PDR,LAO,0.8845160604,28.9310245514,53,53.7867965698,56.6336517334,59.4916954041,62.3571929932,65.2264175415,68.0962677002,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Latvia,LVA,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Lebanon,LBN,89.7553329468,95.1834487915,99.2,99.5271987915,99.8199462891,99.9563827515,99.9950408936,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Lesotho,LSO,..,..,5.0843191147,6,7.253692627,8.3570222855,9.4678077698,10.5823230743,11.8,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Liberia,LBR,..,0.0109715192,0.5765632391,0.5,0.9192315936,1,1.3066418171,1.2,1.7095878124,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Libya,LBY,100,99.1,94.6902923584,94.2673721313,93.8593673706,93.4625473022,93.0731811523,92.6875457764,92.3025283813,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Liechtenstein,LIE,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Lithuania,LTU,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Luxembourg,LUX,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,"Macao SAR, China",MAC,..,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,"Macedonia, FYR",MKD,88.9701538086,94.8656082153,99.1268768311,99.5727233887,99.8494262695,99.9668884277,99.9966430664,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Madagascar,MDG,1.3542540073,5.2757692337,7.9996061325,8.2,8.8534049988,9.4,9.7519454956,8.1,10.6660223007,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Malawi,MWI,0.2814844847,1,2.6180272102,2.7980914116,3.5,2.9,2.3,3.4,4.7,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Malaysia,MYS,88.7533874512,93.6307144165,97.1191940308,98,98.1725463867,98.7052688599,99.3,99.644317627,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Maldives,MDV,96.5327148438,98.106010437,98.9790802002,99.8,99.3591384888,99.5639801025,99.7549209595,99.900970459,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Mali,MLI,..,1.9221078157,7.2281289101,7.9703445435,8.7274742126,9.4957885742,11.9,11.0510616302,11.8311834335,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Malta,MLT,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Marshall Islands,MHL,..,26.3582401276,57.0142059326,60.925163269,64.8510360718,83.7309021519,72.7326126099,76.6808547974,80.6297149658,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Mauritania,MRT,1.5801326036,2.2442266941,2.3621265888,2.4558269978,2.5644414425,2.6842412949,2.8114981651,2.9424834251,2.3,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Mauritius,MUS,100,99.6366348267,88.0480499268,86.4797592163,84.9263763428,83.3841781616,81.8494338989,80.3184280396,78.7880325317,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Mexico,MEX,79.8684387207,93.055972,95.935502,96.9922790527,97.518062,98.8228149414,97.194036,99.8489151001,97.52599,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,"Micronesia, Fed. Sts.",FSM,..,10,48.0163230896,52.6524429321,58.5948369145,61.9656982422,66.6353759766,71.3087768555,75.9828109741,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Moldova,MDA,89.717590332,95.4763565063,99.5126037598,99.8138427734,99.9547729492,99.9948425293,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Monaco,MCO,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Mongolia,MNG,100,81.0154571533,63.4197502136,61.2992515564,59.1936645508,57.0992622375,55.0123214722,52,50.8465118408,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Montenegro,MNE,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Morocco,MAR,8.9313850403,40.0695495605,64.5667037964,67.7078170776,70.8638381958,74.0310440063,77.2057037354,80.3841018677,84.6,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Mozambique,MOZ,..,1.3826519251,3.6469666958,3.8,4.3858852386,5.4,5.1695456505,5.5688328743,5.9687418938,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Myanmar,MMR,..,11.6687994003,31.58826828,34.1571655273,34.3,39.3359718323,41.9384269714,44.5446052551,49,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Namibia,NAM,3.6679031849,13.2,16.5496311188,17.3155384064,18.0963611603,18.8883666992,19.6878318787,20.5,21.294839859,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Nepal,NPL,..,19.9626750946,53.5548439026,57.8328285217,62.1257247925,72.9,70.7413482666,75.0566177368,81.7,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Netherlands,NLD,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,New Caledonia,NCL,..,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,New Zealand,NZL,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Nicaragua,NIC,36.0765800476,43.2132377625,48.509185791,47.234364,50.0060157776,50.7730712891,51.5475845337,52.3258247375,57.14328,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Niger,NER,..,1.4710898399,3.3802747726,3.6978857517,4.0304107666,4.8,5.2,5.0801849365,5.4357023239,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Nigeria,NGA,8.6,24.4805450439,31.4,33.6884307861,34.9,35.5,37.0428657532,34.4,39.3046302795,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Northern Mariana Islands,MNP,..,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Norway,NOR,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Oman,OMN,..,..,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Pakistan,PAK,43.2696762085,65.1260223389,82.1977233887,87.1,86.6384887695,87.9,91.1239929199,90.5,95.625038147,..,..,..
